10:06:16.920 Temperature_(C): 21.90, Humidity_(%): 71.80, VOC_(PPM): 161.91, CO2_(PPM): 554.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
10:06:17.850 Temperature_(C): 22.00, Humidity_(%): 71.70, VOC_(PPM): 169.34, CO2_(PPM): 554.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 8, PM10_(ug/m3): 11
10:06:18.763 Temperature_(C): 22.00, Humidity_(%): 71.70, VOC_(PPM): 144.17, CO2_(PPM): 554.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 10, PM10_(ug/m3): 13
10:06:19.681 Temperature_(C): 22.00, Humidity_(%): 71.70, VOC_(PPM): 158.19, CO2_(PPM): 554.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 16
10:06:20.603 Temperature_(C): 21.90, Humidity_(%): 71.30, VOC_(PPM): 137.97, CO2_(PPM): 553.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 16, PM10_(ug/m3): 19
10:06:21.512 Temperature_(C): 21.90, Humidity_(%): 71.30, VOC_(PPM): 151.56, CO2_(PPM): 552.00, PM1.0_(ug/m3): 12, PM2.5_(ug/m3): 16, PM10_(ug/m3): 19
10:06:22.446 Temperature_(C): 21.80, Humidity_(%): 70.30, VOC_(PPM): 163.49, CO2_(PPM): 551.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 19, PM10_(ug/m3): 21
10:06:23.367 Temperature_(C): 21.80, Humidity_(%): 70.30, VOC_(PPM): 149.09, CO2_(PPM): 547.00, PM1.0_(ug/m3): 14, PM2.5_(ug/m3): 20, PM10_(ug/m3): 21
10:06:24.281 Temperature_(C): 21.80, Humidity_(%): 70.60, VOC_(PPM): 170.77, CO2_(PPM): 545.00, PM1.0_(ug/m3): 14, PM2.5_(ug/m3): 21, PM10_(ug/m3): 21
10:06:25.198 Temperature_(C): 21.80, Humidity_(%): 70.60, VOC_(PPM): 148.83, CO2_(PPM): 541.00, PM1.0_(ug/m3): 16, PM2.5_(ug/m3): 21, PM10_(ug/m3): 21
10:06:26.112 Temperature_(C): 21.90, Humidity_(%): 70.50, VOC_(PPM): 288.82, CO2_(PPM): 539.00, PM1.0_(ug/m3): 16, PM2.5_(ug/m3): 22, PM10_(ug/m3): 22
10:06:27.017 Temperature_(C): 21.90, Humidity_(%): 70.50, VOC_(PPM): 148.76, CO2_(PPM): 539.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 20, PM10_(ug/m3): 20
10:06:27.951 Temperature_(C): 21.90, Humidity_(%): 70.80, VOC_(PPM): 155.56, CO2_(PPM): 537.00, PM1.0_(ug/m3): 14, PM2.5_(ug/m3): 20, PM10_(ug/m3): 20
10:06:28.856 Temperature_(C): 21.90, Humidity_(%): 70.80, VOC_(PPM): 152.00, CO2_(PPM): 535.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 19, PM10_(ug/m3): 19
10:06:29.720 Temperature_(C): 21.90, Humidity_(%): 70.80, VOC_(PPM): 170.40, CO2_(PPM): 533.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 19, PM10_(ug/m3): 19
10:06:30.564 Temperature_(C): 21.80, Humidity_(%): 70.90, VOC_(PPM): 141.75, CO2_(PPM): 532.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 19, PM10_(ug/m3): 19
10:06:31.478 Temperature_(C): 21.80, Humidity_(%): 70.90, VOC_(PPM): 170.47, CO2_(PPM): 530.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 16, PM10_(ug/m3): 16
10:06:32.326 Temperature_(C): 21.90, Humidity_(%): 71.30, VOC_(PPM): 185.72, CO2_(PPM): 528.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 16, PM10_(ug/m3): 16
10:06:33.169 Temperature_(C): 21.90, Humidity_(%): 71.30, VOC_(PPM): 162.38, CO2_(PPM): 526.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
