 PM10_(ug/m3): 25
15:03:12.927 Temperature_(C): 20.50, Humidity_(%): 58.80, VOC_(PPM): 165.02, CO2_(PPM): 474.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 5
15:03:13.865 Temperature_(C): 20.50, Humidity_(%): 58.80, VOC_(PPM): 184.99, CO2_(PPM): 475.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 5
15:03:14.717 Temperature_(C): 20.60, Humidity_(%): 59.30, VOC_(PPM): 164.40, CO2_(PPM): 475.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 5
15:03:15.540 Temperature_(C): 20.60, Humidity_(%): 59.30, VOC_(PPM): 176.13, CO2_(PPM): 475.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 5
15:03:16.479 Temperature_(C): 20.60, Humidity_(%): 60.20, VOC_(PPM): 152.47, CO2_(PPM): 475.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:03:17.322 Temperature_(C): 20.60, Humidity_(%): 60.20, VOC_(PPM): 179.27, CO2_(PPM): 476.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:03:18.175 Temperature_(C): 20.60, Humidity_(%): 60.20, VOC_(PPM): 292.31, CO2_(PPM): 476.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:03:19.100 Temperature_(C): 20.60, Humidity_(%): 61.00, VOC_(PPM): 151.79, CO2_(PPM): 476.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 5
15:03:19.952 Temperature_(C): 20.60, Humidity_(%): 61.00, VOC_(PPM): 800.58, CO2_(PPM): 476.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 5
15:03:20.816 Temperature_(C): 20.70, Humidity_(%): 60.80, VOC_(PPM): 141.33, CO2_(PPM): 477.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 5
15:03:21.709 Temperature_(C): 20.70, Humidity_(%): 60.80, VOC_(PPM): 162.86, CO2_(PPM): 478.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
15:03:22.561 Temperature_(C): 20.50, Humidity_(%): 59.90, VOC_(PPM): 145.78, CO2_(PPM): 478.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
15:03:23.405 Temperature_(C): 20.50, Humidity_(%): 59.90, VOC_(PPM): 160.23, CO2_(PPM): 478.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
15:03:24.343 Temperature_(C): 20.60, Humidity_(%): 59.20, VOC_(PPM): 265.64, CO2_(PPM): 479.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
15:03:25.187 Temperature_(C): 20.60, Humidity_(%): 59.20, VOC_(PPM): 153.33, CO2_(PPM): 480.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
15:03:26.039 Temperature_(C): 20.60, Humidity_(%): 59.20, VOC_(PPM): 324.51, CO2_(PPM): 480.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
15:03:26.956 Temperature_(C): 20.60, Humidity_(%): 59.30, VOC_(PPM): 146.13, CO2_(PPM): 479.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:27.820 Temperature_(C): 20.60, Humidity_(%): 59.30, VOC_(PPM): 164.40, CO2_(PPM): 480.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:28.649 Temperature_(C): 20.60, Humidity_(%): 59.60, VOC_(PPM): 135.68, CO2_(PPM): 480.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:29.574 Temperature_(C): 20.60, Humidity_(%): 59.60, VOC_(PPM): 160.35, CO2_(PPM): 483.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 5
15:03:30.422 Temperature_(C): 20.60, Humidity_(%): 58.90, VOC_(PPM): 142.99, CO2_(PPM): 483.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 5
15:03:31.274 Temperature_(C): 20.60, Humidity_(%): 58.90, VOC_(PPM): 157.25, CO2_(PPM): 485.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 5
15:03:32.191 Temperature_(C): 20.60, Humidity_(%): 58.90, VOC_(PPM): 282.85, CO2_(PPM): 485.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:34.800 Temperature_(C): 20.60, Humidity_(%): 59.90, VOC_(PPM): 152.73, CO2_(PPM): 485.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:35.648 Temperature_(C): 20.60, Humidity_(%): 59.90, VOC_(PPM): 175.54, CO2_(PPM): 485.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:36.496 Temperature_(C): 20.60, Humidity_(%): 60.10, VOC_(PPM): 152.56, CO2_(PPM): 486.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:37.411 Temperature_(C): 20.60, Humidity_(%): 60.10, VOC_(PPM): 171.38, CO2_(PPM): 486.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:38.283 Temperature_(C): 20.60, Humidity_(%): 60.10, VOC_(PPM): 280.95, CO2_(PPM): 486.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:39.110 Temperature_(C): 20.60, Humidity_(%): 59.60, VOC_(PPM): 164.12, CO2_(PPM): 486.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:40.052 Temperature_(C): 20.60, Humidity_(%): 59.60, VOC_(PPM): 349.84, CO2_(PPM): 486.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:40.904 Temperature_(C): 20.60, Humidity_(%): 59.10, VOC_(PPM): 168.43, CO2_(PPM): 486.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:41.723 Temperature_(C): 20.60, Humidity_(%): 59.10, VOC_(PPM): 176.33, CO2_(PPM): 486.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:42.665 Temperature_(C): 20.50, Humidity_(%): 59.40, VOC_(PPM): 156.97, CO2_(PPM): 486.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:43.509 Temperature_(C): 20.50, Humidity_(%): 59.40, VOC_(PPM): 180.25, CO2_(PPM): 487.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:44.361 Temperature_(C): 20.50, Humidity_(%): 59.40, VOC_(PPM): 123.16, CO2_(PPM): 488.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 3
15:03:45.279 Temperature_(C): 20.60, Humidity_(%): 59.30, VOC_(PPM): 176.13, CO2_(PPM): 489.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:03:46.131 Temperature_(C): 20.60, Humidity_(%): 59.30, VOC_(PPM): 318.03, CO2_(PPM): 489.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:03:46.983 Temperature_(C): 20.60, Humidity_(%): 58.80, VOC_(PPM): 172.64, CO2_(PPM): 490.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:03:47.900 Temperature_(C): 20.60, Humidity_(%): 58.80, VOC_(PPM): 193.27, CO2_(PPM): 490.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:03:48.748 Temperature_(C): 20.50, Humidity_(%): 59.90, VOC_(PPM): 171.74, CO2_(PPM): 490.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:03:49.592 Temperature_(C): 20.50, Humidity_(%): 59.90, VOC_(PPM): 188.03, CO2_(PPM): 490.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
